features,95,100,106,112,118,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,89,94,102,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,108,120,121,124
fz_1,30.7232,30.4032,9.21128,9.95545,28.3371,6.13938,34.7931,19.0855,11.6835,17.522,1.49366,2.17748,15.2745,27.0601,17.4831,18.1318,33.4331,4.84867,1.47129,3.44675,3.45686,4.82314,5.12564,23.6359,26.5149,4.00537,1.83732,7.45237,6.39669,1.62614,10.9165,1.64307,8.29717,1.12287,4.20701,0.608673,1.55752,2.85225,2.09192,1.9734,4.24015,3.34074,29.8844,17.9623,18.2831
fz_2,41.4514,40.1217,10.5354,12.5652,30.1206,6.41366,36.0602,24.152,13.7425,24.7027,1.55813,2.34283,17.6359,29.0371,24.6472,18.4318,36.51,6.8022,1.47151,3.46084,3.6933,5.17314,5.55308,24.787,28.2961,4.01389,1.84883,7.52834,6.62078,1.68264,13.0802,1.64931,8.50546,1.1378,4.61944,0.613252,1.60826,2.9153,2.10022,2.01968,4.25711,3.96715,31.3003,22.8644,26.8744
fz_3,53.0529,51.1922,15.0302,13.4778,32.5521,7.68287,37.2886,25.4893,15.9486,28.5788,1.69289,2.37551,19.4852,39.9657,28.6344,19.7241,40.2278,10.9633,1.51131,3.50605,4.70279,5.26517,8.22875,26.7134,29.2011,4.08925,1.91497,7.6094,6.71286,1.76475,16.0923,1.68585,8.95625,1.15067,4.70742,0.615272,1.62471,2.91887,2.21556,2.06677,4.37004,4.77323,39.6551,24.8547,29.4652
fz_4,68.5618,60.5303,15.1593,28.886,38.5356,9.62582,38.5564,26.0432,17.6521,39.1927,1.69461,2.47732,19.7404,40.2571,39.2152,24.3113,69.8243,14.9754,1.53501,3.52342,9.27045,5.65935,9.69264,49.032,33.365,4.09886,1.99203,7.73974,7.25127,1.78701,25.2301,1.68659,8.98067,1.2205,4.72707,0.620443,1.63867,2.93418,2.34311,2.21672,4.38759,7.55873,42.1007,29.4395,29.6498
fz_5,72.2669,96.9482,21.3837,31.7159,90.0174,10.5944,49.0912,29.3893,23.9378,65.3296,1.71005,2.50644,21.1096,42.8114,65.2694,35.1105,80.443,17.4379,1.59473,3.71736,24.6636,6.13778,11.1792,64.1077,40.4179,4.18784,2.07781,8.08768,7.40275,3.86843,40.2538,1.71997,9.40622,1.22591,4.93544,0.663566,1.69697,3.02153,2.36605,2.24246,4.87604,11.4361,53.0673,35.601,100.522
Ax_1,0.0131313,0.0139089,0.00562372,0.128916,0.0205371,0.00199267,0.000773054,0.00147876,0.000331492,0.000394822,0.0485294,0.00796935,0.00117111,0.000160751,0.000394895,0.00150434,0.000321285,0.000886188,0.0388655,0.00100372,0.00117048,0.000697674,0.000726864,0.00700701,0.0123077,0.0864734,0.000801134,0.00176056,0.000684182,0.00103012,0.000674261,0.0307503,0.00065703,0.0466365,0.0030969,0.00259266,0.00186694,0.00146789,0.00174198,0.0017439,0.00116844,0.0512033,0.00721278,0.00947867,0.00681265
Ax_2,0.00757576,0.0172662,0.00408998,0.00410889,0.011585,0.00151443,0.000414136,0.00168273,0.000265193,0.000124681,0.0178922,0.040613,0.000553025,0.000353652,0.000124704,0.000664708,0.000401606,0.00071739,0.0370588,7.43E-05,0.00101781,0.000891473,0.000594707,0.00850851,0.00717949,0.0396135,0.000277316,0.000896287,0.00194992,0.00280619,0.000496824,0.0226248,0.000919842,0.0422624,0.0023976,0.000518532,0.000282869,0.00195719,0.000204939,0.00357084,0.00138752,0.0389145,0.00824317,0.0157978,0.00437956
Ax_3,0.00909091,0.00479616,0.0132924,0.0400616,0.00947867,0.0011956,0.00115958,0.0012238,0.000198895,0.000311701,0.0436275,0.00773946,0.000422902,0.000289352,0.00031176,0.000279877,0.000267738,2.11E-04,0.022437,0.000669145,0.00086514,0.000310078,0.000330393,0.002002,0.00410256,0.0342995,0.000400567,9.60E-05,0.000444718,5.33E-04,0.000354874,0.0255693,0.000854139,0.0423529,0.0004995,0.000331861,0.00610998,0.00159021,3.07E-04,0.000249128,0.000547705,0.0230415,0.00257599,0.00789889,0.00340633
Ax_4,0.00454545,0.00767386,0.00869121,0.00205444,0.00526593,0.00103619,0.000138045,0.000407934,0.000110497,8.31E-05,0.0460784,0.00275862,0.000195185,0.000225051,8.31E-05,0.000419815,0.000133869,0.000548593,0.0369328,0.00115242,0.000712468,0.000581395,0.000231275,0.00500501,1.13E-02,0.031401,0.000677883,0.00163252,0.000342091,0.000710429,3.55E-05,0.0332103,0.000262812,9.05E-05,0.0028971,0.000103706,0.00169722,0.000550459,0.00204939,0.00307258,0.000328623,0.00972862,0.0015456,0.00473934,0.00583942
Ax_5,0.00353535,0.00335731,0.0107362,0.00719055,0.00263296,0.000876773,0.000248482,0.000662893,0.000154696,0.000228581,0.00122549,0.00298851,0.000325309,3.22E-05,0.000228624,0.000139938,0.000187416,4.22E-05,4.47E-02,0.000817844,0.000305344,0.000426357,6.61E-05,0.0035035,0.00307692,0.036715,0.000523818,0.00230474,2.19E-03,0.000319693,0.000248412,0.0354094,6.57E-05,0.0483861,0.0001998,1.45E-04,0.000735461,0.000366972,0.000136626,0.000415213,0.000766787,0.0133129,0.00360639,0.00157978,0.00243309
